Gene,SRR5886303,SRR5886304,SRR5886305,SRR5886306
ANKRD26,1840,1966,1291,1066
ANKRD26P1,2,5,0,0
ANKRD26P3,0,0,0,0
ANKRD27,2496,1871,2175,1517
ANKRD28,9486,9015,5074,3995
ANKRD29,149,102,140,91
ANKRD30A,0,0,0,0
ANKRD30B,0,0,0,0
ANKRD30BL,0,0,0,0
ANKRD30BP2,0,0,0,0
ANKRD30BP3,0,0,0,0
ANKRD31,15,10,5,3
ANKRD33,0,0,0,0
ANKRD33B,1196,768,584,379
ANKRD34A,25,12,32,30
ANKRD34B,7,3,0,0
ANKRD34C,0,5,1,1
ANKRD34C-AS1,0,0,0,0
ANKRD35,0,0,0,0
ANKRD36,1826,1790,1413,1160
ANKRD36B,509,430,457,331
ANKRD36BP1,0,0,0,0
ANKRD36BP2,8,11,2,5
ANKRD36C,1352,1427,540,516
ANKRD37,106,96,76,32
ANKRD39,78,35,153,126
ANKRD40,2116,1826,1854,1402
ANKRD40CL,0,0,0,0
ANKRD42,439,414,366,286
ANKRD44,464,387,229,203
ANKRD44-AS1,0,0,0,0
ANKRD44-IT1,16,2,20,12
ANKRD45,0,1,1,0
ANKRD46,389,430,334,261
ANKRD49,901,856,779,523
ANKRD50,1334,1340,940,823
ANKRD52,1660,867,2314,2184
ANKRD53,1,0,0,0
ANKRD54,686,360,656,483
ANKRD55,29,32,1,1
ANKRD6,1,0,0,0
ANKRD60,1,3,0,1
ANKRD61,0,2,1,0
ANKRD62,2,5,0,2
ANKRD62P1-PARP4P3,0,0,0,0
ANKRD63,16,8,14,26
ANKRD65,0,0,0,0
ANKRD66,0,0,0,0
ANKRD7,0,0,0,0
ANKRD9,102,46,165,117
ANKS1A,969,471,1076,955
ANKS1B,28,18,0,6
ANKS3,227,72,388,307
ANKS4B,0,0,0,0
ANKS6,493,266,638,496
ANKUB1,0,0,0,0
ANKZF1,800,504,908,697
ANLN,22477,21847,18996,13952
ANO1,0,0,5,4
ANO10,661,503,475,335
ANO2,87,82,499,322
ANO3,0,0,0,0
ANO3-AS1,0,0,0,0
ANO4,492,475,143,93
ANO5,0,0,0,0
ANO6,17872,16810,8508,6704
ANO7,3,2,21,10
ANO8,47,19,65,56
ANO9,0,0,0,0
ANOS1,0,0,0,0
ANP32A,5253,4917,6754,4548
ANP32A-IT1,143,105,202,210
ANP32AP1,28,27,38,26
ANP32B,3140,3395,2409,2255
ANP32C,22,47,34,24
ANP32D,7,1,0,2
ANP32E,7890,10587,6047,5108
ANPEP,184,62,32,20
ANTKMT,13,5,70,63
ANTXR1,3881,3285,2844,2708
ANTXR2,14,17,11,10
ANTXRL,0,0,0,1
ANTXRLP1,0,0,0,0
ANXA1,12919,12256,7813,5614
ANXA10,6,4,0,0
ANXA11,2060,1212,2332,1802
ANXA13,0,0,1,0
ANXA2,33466,25531,28726,20451
ANXA2P1,20,54,19,14
ANXA2P2,16666,14707,13404,9481
